timestamp_or_frame,class,count,direction,track_id
12277,SUV,1,B_TO_A,586
12303,Two-wheeler,1,B_TO_A,594
12311,Two-wheeler,1,B_TO_A,591
12328,Two-wheeler,1,A_TO_B,598
12387,Two-wheeler,1,B_TO_A,602
12433,Two-wheeler,1,B_TO_A,604
12541,Two-wheeler,1,B_TO_A,607
12561,Two-wheeler,1,B_TO_A,609
12646,Sedan,1,B_TO_A,615
12684,LCV,1,B_TO_A,620
12827,Sedan,1,B_TO_A,628
12832,MUV,1,B_TO_A,625
12944,LCV,1,B_TO_A,635
13018,Two-wheeler,1,B_TO_A,639
13052,Two-wheeler,1,B_TO_A,640
13079,Two-wheeler,1,B_TO_A,642
13166,Two-wheeler,1,B_TO_A,650
13197,Hatchback,1,B_TO_A,651
13379,Hatchback,1,B_TO_A,658
13438,SUV,1,B_TO_A,660
13438,SUV,1,B_TO_A,666
13487,Two-wheeler,1,B_TO_A,669
13506,Two-wheeler,1,A_TO_B,673
13677,Two-wheeler,1,B_TO_A,677
13907,LCV,1,B_TO_A,690
13916,Two-wheeler,1,B_TO_A,692
14075,Hatchback,1,B_TO_A,702
14103,Two-wheeler,1,B_TO_A,703
14123,Hatchback,1,B_TO_A,705
14158,Two-wheeler,1,B_TO_A,706
14302,Two-wheeler,1,B_TO_A,712
14422,Two-wheeler,1,B_TO_A,715
14440,Two-wheeler,1,A_TO_B,719
14653,Two-wheeler,1,B_TO_A,721
14677,Two-wheeler,1,A_TO_B,722
14707,Two-wheeler,1,B_TO_A,724
14794,SUV,1,B_TO_A,727
15017,Two-wheeler,1,B_TO_A,736
15030,Two-wheeler,1,A_TO_B,741
15034,Two-wheeler,1,A_TO_B,742
15062,Two-wheeler,1,B_TO_A,746
15112,LCV,1,B_TO_A,749
15139,tempo-traveller,1,B_TO_A,753
15144,Two-wheeler,1,B_TO_A,751
15177,Two-wheeler,1,B_TO_A,758
15214,Two-wheeler,1,B_TO_A,764
15242,Two-wheeler,1,B_TO_A,766
15285,Two-wheeler,1,B_TO_A,767
15313,Two-wheeler,1,B_TO_A,771
15353,Van,1,B_TO_A,773
15375,Two-wheeler,1,B_TO_A,780
15393,Two-wheeler,1,B_TO_A,787
15399,Truck,1,B_TO_A,781
15400,Three-wheeler,1,B_TO_A,792
15413,Two-wheeler,1,A_TO_B,795
15454,Two-wheeler,1,B_TO_A,799
15488,Two-wheeler,1,A_TO_B,802
15495,Two-wheeler,1,B_TO_A,804
15798,Hatchback,1,B_TO_A,811
16005,Two-wheeler,1,B_TO_A,812
16065,Two-wheeler,1,B_TO_A,813
16106,Two-wheeler,1,B_TO_A,817
16109,Two-wheeler,1,B_TO_A,822
16131,Two-wheeler,1,B_TO_A,824
16138,Two-wheeler,1,A_TO_B,826
16240,Three-wheeler,1,B_TO_A,830
16254,Two-wheeler,1,B_TO_A,829
16288,Two-wheeler,1,B_TO_A,839
16301,Two-wheeler,1,B_TO_A,841
16393,Van,1,B_TO_A,846
16394,Two-wheeler,1,B_TO_A,850
16423,Two-wheeler,1,B_TO_A,852
16439,Two-wheeler,1,B_TO_A,856
16498,Bus,1,B_TO_A,861
16897,Hatchback,1,B_TO_A,867
16912,MUV,1,B_TO_A,872
16921,LCV,1,B_TO_A,871
17115,Bus,1,B_TO_A,878
17195,Two-wheeler,1,B_TO_A,884
17220,Two-wheeler,1,B_TO_A,887
17235,Two-wheeler,1,B_TO_A,888
17512,Two-wheeler,1,B_TO_A,893
17665,Bus,1,B_TO_A,896
17805,MUV,1,B_TO_A,902
18071,SUV,1,B_TO_A,904
18080,Two-wheeler,1,B_TO_A,905
18457,Two-wheeler,1,B_TO_A,915
18458,SUV,1,B_TO_A,912
18477,Sedan,1,B_TO_A,917
18477,Sedan,1,B_TO_A,921
18505,Two-wheeler,1,B_TO_A,924
18522,Hatchback,1,B_TO_A,927
18563,Sedan,1,B_TO_A,934
18581,Two-wheeler,1,B_TO_A,935
18603,Hatchback,1,B_TO_A,938
18738,Two-wheeler,1,B_TO_A,944
