video,status,start_time,end_time,elapsed_seconds,output_dir,error
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 14 - Akshay Park Circle/Cam 5/2026-07-26/20260726_212628_tp00091.mp4,completed,2026-08-22 16:56:51,2026-08-22 17:04:43,472.07,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 14 - Akshay Park Circle/Cam 5/2026-07-26/20260726_212628_tp00091,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 1 - Backup/2026-07-26/20260726_210630_tp00048.mp4,completed,2026-08-22 17:04:43,2026-08-22 17:11:09,385.95,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 1 - Backup/2026-07-26/20260726_210630_tp00048,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 1 - Backup/2026-07-27/20260727_105757_tp00068.mp4,completed,2026-08-22 17:11:09,2026-08-22 17:17:53,404.12,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 1 - Backup/2026-07-27/20260727_105757_tp00068,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 2 - Backup/2026-07-26/20260726_094303_tp00029.mp4,completed,2026-08-22 17:17:53,2026-08-22 17:25:14,440.08,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 2 - Backup/2026-07-26/20260726_094303_tp00029,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 2 - Backup/2026-07-27/20260727_125456_tp00078.mp4,completed,2026-08-22 17:25:14,2026-08-22 17:33:20,486.89,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 2 - Backup/2026-07-27/20260727_125456_tp00078,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 3 - Backup/2026-07-26/20260726_145905_tp00045.mp4,completed,2026-08-22 17:33:20,2026-08-22 17:41:25,484.92,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 3 - Backup/2026-07-26/20260726_145905_tp00045,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 3 - Backup/2026-07-27/20260727_200931_tp00101.mp4,completed,2026-08-22 17:41:25,2026-08-22 17:49:00,454.96,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 3 - Backup/2026-07-27/20260727_200931_tp00101,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 4 - Backup/2026-07-26/20260726_212340_tp00043.mp4,completed,2026-08-22 17:49:00,2026-08-22 17:55:31,390.23,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 4 - Backup/2026-07-26/20260726_212340_tp00043,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 4 - Backup/2026-07-27/20260727_172024_tp00070.mp4,completed,2026-08-22 17:55:31,2026-08-22 18:02:33,421.96,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 15 - KSRTC Bus Depot／Vanivilas /Cam 4 - Backup/2026-07-27/20260727_172024_tp00070,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 18 - Durgabail Circle/Cam 4/2026-08-01/20260801_122322_tp00036.mp4,completed,2026-08-22 18:02:33,2026-08-22 18:10:07,454.95,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TMC - 2 Days and 16 hours/TMC 18 - Durgabail Circle/Cam 4/2026-08-01/20260801_122322_tp00036,
