video,status,start_time,end_time,elapsed_seconds,output_dir,error
/home/users/oauser/mvsa/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040.mp4,failed,2026-08-22 04:51:48,2026-08-22 04:51:56,8.13,/home/users/oauser/mvsa/vehicle-count-output/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040,Pipeline returned non-zero exit code: 1
/home/users/oauser/mvsa/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040.mp4,failed,2026-08-22 04:53:50,2026-08-22 04:53:54,3.32,/home/users/oauser/mvsa/vehicle-count-output/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040,Pipeline returned non-zero exit code: 1
/home/users/oauser/mvsa/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040.mp4,failed,2026-08-22 04:54:09,2026-08-22 04:54:12,2.83,/home/users/oauser/mvsa/vehicle-count-output/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040,Pipeline returned non-zero exit code: 1
/home/users/oauser/mvsa/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040.mp4,failed,2026-08-22 12:39:34,2026-08-22 12:59:06,1172.06,/home/users/oauser/mvsa/vehicle-count-output/Data Corp - Dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/CVC - 24 hour CVC/CVC 10 - Savadatti Road/Cam 2 - Backup/2026-07-23/20260723_203600_tp00040,Pipeline finished but expected output files are missing
