2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=309 raw_class=Hatchback raw_conf=0.351 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:43 [INFO] uvh_test.main: Processed 100 frames... Count: 1
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=312 raw_class=Two-wheeler raw_conf=0.904 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=316 raw_class=Two-wheeler raw_conf=0.912 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.counter: track_id: 5, frame: 316, previous_bottom_center: (1413.09912109375, 839.7201), current_bottom_center: (1615.344482421875, 688.7711), previous_side: 6.75, current_side: -236.84, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=319 raw_class=Two-wheeler raw_conf=0.911 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=319 raw_class=Two-wheeler raw_conf=0.912 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=322 raw_class=Two-wheeler raw_conf=0.908 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=322 raw_class=Two-wheeler raw_conf=0.907 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=325 raw_class=Two-wheeler raw_conf=0.916 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=325 raw_class=Two-wheeler raw_conf=0.910 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=328 raw_class=Two-wheeler raw_conf=0.889 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=328 raw_class=Two-wheeler raw_conf=0.901 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.counter: track_id: 3, frame: 328, previous_bottom_center: (897.896484375, 499.65683), current_bottom_center: (1035.919677734375, 466.9465), previous_side: 57.10, current_side: -53.81, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=331 raw_class=Two-wheeler raw_conf=0.887 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=331 raw_class=Two-wheeler raw_conf=0.897 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=334 raw_class=Two-wheeler raw_conf=0.892 kept_by_bytetrack=True track_id=5
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=334 raw_class=Two-wheeler raw_conf=0.901 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:43 [DEBUG] uvh_test.main: frame=337 raw_class=Two-wheeler raw_conf=0.879 kept_by_bytetrack=True track_id=5
