2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=306 raw_class=Two-wheeler raw_conf=0.660 kept_by_bytetrack=True track_id=3
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=309 raw_class=Two-wheeler raw_conf=0.771 kept_by_bytetrack=True track_id=3
2026-08-28 12:01:53 [INFO] uvh_test.main: Processed 100 frames... Count: 2
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=312 raw_class=Two-wheeler raw_conf=0.699 kept_by_bytetrack=True track_id=3
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=316 raw_class=Two-wheeler raw_conf=0.651 kept_by_bytetrack=True track_id=3
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=319 raw_class=Two-wheeler raw_conf=0.901 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=322 raw_class=Two-wheeler raw_conf=0.883 kept_by_bytetrack=False track_id=None
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=325 raw_class=Two-wheeler raw_conf=0.893 kept_by_bytetrack=False track_id=None
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=328 raw_class=Two-wheeler raw_conf=0.889 kept_by_bytetrack=False track_id=None
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=331 raw_class=Two-wheeler raw_conf=0.880 kept_by_bytetrack=False track_id=None
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=334 raw_class=Two-wheeler raw_conf=0.881 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=337 raw_class=Two-wheeler raw_conf=0.886 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=341 raw_class=Two-wheeler raw_conf=0.889 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.counter: track_id: 4, frame: 341, previous_bottom_center: (907.1815185546875, 463.68246), current_bottom_center: (1058.0723876953125, 432.2397), previous_side: 23.07, current_side: -94.79, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=344 raw_class=Two-wheeler raw_conf=0.894 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=347 raw_class=Two-wheeler raw_conf=0.879 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=350 raw_class=Two-wheeler raw_conf=0.891 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=353 raw_class=Two-wheeler raw_conf=0.884 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:53 [DEBUG] uvh_test.main: frame=356 raw_class=Two-wheeler raw_conf=0.902 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=359 raw_class=Two-wheeler raw_conf=0.891 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=362 raw_class=Two-wheeler raw_conf=0.855 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=365 raw_class=Two-wheeler raw_conf=0.895 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=369 raw_class=Two-wheeler raw_conf=0.895 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=372 raw_class=Two-wheeler raw_conf=0.917 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=375 raw_class=Two-wheeler raw_conf=0.894 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=378 raw_class=Two-wheeler raw_conf=0.865 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=381 raw_class=Two-wheeler raw_conf=0.867 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=384 raw_class=Two-wheeler raw_conf=0.862 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=387 raw_class=Two-wheeler raw_conf=0.824 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=390 raw_class=Two-wheeler raw_conf=0.813 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=394 raw_class=Two-wheeler raw_conf=0.809 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=397 raw_class=Two-wheeler raw_conf=0.777 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=400 raw_class=Two-wheeler raw_conf=0.799 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=403 raw_class=Two-wheeler raw_conf=0.783 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=406 raw_class=Two-wheeler raw_conf=0.696 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=409 raw_class=Two-wheeler raw_conf=0.776 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=412 raw_class=Two-wheeler raw_conf=0.676 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=415 raw_class=Two-wheeler raw_conf=0.359 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=418 raw_class=Two-wheeler raw_conf=0.664 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=422 raw_class=Two-wheeler raw_conf=0.630 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=422 raw_class=SUV raw_conf=0.544 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=425 raw_class=Two-wheeler raw_conf=0.562 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=428 raw_class=SUV raw_conf=0.599 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=431 raw_class=SUV raw_conf=0.615 kept_by_bytetrack=True track_id=5
2026-08-28 12:01:54 [DEBUG] uvh_test.main: frame=431 raw_class=Two-wheeler raw_conf=0.584 kept_by_bytetrack=True track_id=4
2026-08-28 12:01:55 [DEBUG] uvh_test.main: frame=434 raw_class=SUV raw_conf=0.648 kept_by_bytetrack=True track_id=7
